,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tura,IN,25.5198,90.2201,82.98,82,100,2.89,overcast clouds
80,Upington,ZA,-28.4478,21.2561,39.58,81,0,4.61,clear sky
81,Chokurdakh,RU,70.6333,147.9167,58.51,26,17,10.38,few clouds
82,Piacabucu,BR,-10.4056,-36.4344,72.59,82,100,8.97,overcast clouds
83,Thompson,CA,55.7435,-97.8558,57.36,94,40,6.91,scattered clouds
84,Goba,ET,7.0167,39.9833,53.02,89,97,0.29,overcast clouds
85,Lebu,CL,-37.6167,-73.65,49.48,92,81,5.48,broken clouds
86,Bitung,ID,1.4451,125.1824,81.45,74,40,9.48,scattered clouds
87,Arraial Do Cabo,BR,-22.9661,-42.0278,70.02,81,40,8.99,scattered clouds
88,Hammerfest,NO,70.6634,23.6821,66.65,63,0,3.44,clear sky
89,Grindavik,IS,63.8424,-22.4338,49.95,100,75,2.3,moderate rain
90,Konibodom,TJ,40.2843,70.4426,98.89,13,0,4.18,clear sky
91,Mount Gambier,AU,-37.8333,140.7667,58.57,58,2,8.41,clear sky
92,Vila,PT,42.0304,-8.1588,54.48,57,2,3.78,clear sky
93,Thinadhoo,MV,0.5333,72.9333,80.08,74,100,1.79,overcast clouds
94,Gat,IL,31.61,34.7642,80.78,100,0,6.8,clear sky
95,Pandan,PH,14.0453,124.1694,88.09,66,91,8.05,heavy intensity rain
96,Port Blair,IN,11.6667,92.75,84.24,84,100,11.5,moderate rain
97,Lenine,UA,45.2986,35.7771,71.26,71,65,11.48,light rain
98,Xam Nua,LA,20.4197,104.0439,77.5,83,100,4.16,heavy intensity rain
99,Samarai,PG,-10.6167,150.6667,82.96,73,13,12.28,few clouds
100,Catia La Mar,VE,10.6038,-67.0303,75.4,88,75,0.0,drizzle
101,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,88,52,0.67,broken clouds
102,Qaanaaq,GL,77.484,-69.3632,41.49,77,96,7.52,overcast clouds
103,Nchelenge,ZM,-9.3451,28.734,69.49,52,41,6.64,scattered clouds
104,Kruisfontein,ZA,-34.0033,24.7314,47.88,92,4,7.23,clear sky
105,Beringovskiy,RU,63.05,179.3167,46.35,75,99,10.87,overcast clouds
106,Saint-Philippe,RE,-21.3585,55.7679,72.21,78,50,16.84,light rain
107,East London,ZA,-33.0153,27.9116,58.14,94,20,9.22,few clouds
108,Grootfontein,NA,-19.5667,18.1167,50.88,41,3,3.74,clear sky
109,Kapaa,US,22.0752,-159.319,80.19,79,20,16.11,few clouds
110,Puerto Santander,CO,8.3636,-72.4063,83.61,95,80,2.28,broken clouds
111,Douentza,ML,14.9951,-2.9517,79.77,73,79,9.73,broken clouds
112,Cascais,PT,38.6979,-9.4215,67.46,75,4,20.0,clear sky
113,Shache,CN,38.4167,77.2406,93.88,11,0,3.74,clear sky
114,Aguimes,ES,27.9054,-15.4461,77.63,41,0,24.0,clear sky
